date,ticker,open,high,low,close,volume
2023-01-01,2222.SR,24.168618222358667,24.35655403137207,24.131031376000966,24.35655403137207,1569087.0
2023-01-02,000660.KS,73041.88828228203,74598.04036286328,72944.6287772457,73625.4453125,1376985.0
2023-01-02,005930.KS,51982.59765625,52544.57168496622,51701.61064189189,51982.59765625,10031448.0
2023-01-02,2222.SR,24.431732173113225,24.431732173113225,24.168621063232422,24.168621063232422,4693364.0
2023-01-03,000660.KS,73528.1796875,74208.99616608796,71096.69226397156,73528.1796875,2719437.0
2023-01-03,005930.KS,51888.94140625,52450.91550090253,51045.98026427121,51888.94140625,13547030.0
2023-01-03,2222.SR,24.168621063232422,24.168621063232422,24.168621063232422,24.168621063232422,0.0
2023-01-03,AAPL,128.1057773178633,128.7154254385632,122.0977455022682,122.98272705078125,112117500.0
2023-01-03,AMD,66.0,66.87999725341797,63.59000015258789,64.0199966430664,46851800.0
2023-01-03,AMZN,85.45999908447266,86.95999908447266,84.20999908447266,85.81999969482422,76706000.0
2023-01-03,AVGO,53.82209673126179,54.06691579705673,52.468445817039395,52.72469711303711,20173000.0
2023-01-03,BRK-B,310.07000732421875,312.3900146484375,307.3800048828125,309.9100036621094,3549900.0
2023-01-03,GOOG,89.04490718163771,90.74987596631902,88.24198126255878,88.9160385131836,20738500.0
2023-01-03,INTC,26.08371317186176,26.102999168842448,25.428005827443503,25.775144577026367,31308000.0
2023-01-03,JPM,123.8450976445849,125.21871224767116,122.60883891255513,123.73519897460938,11054800.0
2023-01-03,LLY,356.4536058109093,359.12023436136076,351.7821052672171,355.21759033203125,2006700.0
2023-01-03,META,121.75085206551363,125.26995235423395,121.21555185589816,123.65413665771484,35528500.0
2023-01-03,MSFT,236.35137496373926,238.9474656895386,230.82859367762717,232.94825744628906,25740000.0
2023-01-03,MU,49.8066438579783,50.20068149650089,48.81169102315495,49.61947250366211,12422800.0
2023-01-03,NVDA,14.818074155568226,14.962753137456133,14.064747927725566,14.283262252807617,401277000.0
2023-01-03,TSLA,118.47000122070312,118.80000305175781,104.63999938964844,108.0999984741211,231402800.0
2023-01-03,TSM,72.01779620890817,72.13173600484372,70.0428832096131,70.28974914550781,9276200.0
2023-01-03,V,203.7594858972231,206.72903414567526,200.72179187587327,201.91934204101562,4202800.0
2023-01-03,WMT,45.62905817112818,46.00036316403107,45.48181754653778,45.96515655517578,17249700.0
2023-01-04,000660.KS,73333.66329089506,79655.53081597222,73139.14429012345,78780.1953125,5154609.0
2023-01-04,005930.KS,52169.93420198962,54324.16846885813,52076.271842560556,54136.84375,20188071.0
2023-01-04,2222.SR,24.131035166839794,24.168622019102163,23.717575060278325,23.83033561706543,4618455.0
2023-01-04,AAPL,124.77233620258212,126.51280092971427,122.9925456360047,124.25118255615234,89113600.0
2023-01-04,AMD,65.0,65.79000091552734,63.310001373291016,64.66000366210938,47477100.0
2023-01-04,AMZN,86.55000305175781,86.9800033569336,83.36000061035156,85.13999938964844,68885100.0
2023-01-04,AVGO,53.63062357122344,54.12312158046387,52.96761235752058,53.368656158447266,17074000.0
2023-01-04,BRK-B,312.0,316.8900146484375,311.25,314.54998779296875,5121200.0
2023-01-04,GOOG,90.21460954689326,90.4425951997925,87.0326646259591,87.93470764160156,27046500.0
2023-01-04,INTC,26.430854345730037,26.922636244340204,26.18978489577685,26.69120979309082,37665200.0
2023-01-04,JPM,124.53189886549863,126.07949283864728,124.14728847218983,124.8890380859375,11687600.0
2023-01-04,LLY,354.8770106609432,357.29059123326755,350.692122600028,353.37823486328125,1886200.0
2023-01-04,META,126.27113034212354,127.92659842487713,124.75445049089438,126.26122283935547,32397100.0
2023-01-04,MSFT,225.85031465735742,226.42397945527185,219.70526469993285,222.7583465576172,50623400.0
2023-01-04,MU,52.25954773115374,53.707645753076456,51.94431607109486,53.39241409301758,25077300.0
2023-01-04,NVDA,14.534705251277302,14.820070487005857,14.209427782320121,14.716300964355469,431324000.0
2023-01-04,TSLA,109.11000061035156,114.58999633789062,107.5199966430664,113.63999938964844,180389000.0
2023-01-04,TSM,71.20125223436834,72.73940702121472,70.70752756176259,72.46405792236328,12316400.0
2023-01-04,V,204.09051459384804,207.5760810138759,204.09051459384804,207.00164794921875,6606200.0
2023-01-04,WMT,45.9075363043317,46.109193126134095,45.475411926785476,46.01636505126953,13338300.0
2023-01-05,000660.KS,81017.1489173833,81017.1489173833,78585.66185503686,79169.21875,3510964.0
2023-01-05,005930.KS,54511.48828125,55073.46238724227,53949.51417525773,54511.48828125,15682826.0
2023-01-05,2222.SR,23.83033563009093,23.83033563009093,23.454463952811516,23.717575073242188,4797670.0
