ticker,total_return
000660.KS,2.66700174240602
GOOG,2.15931000778035
AAPL,1.62127839134581
JPM,1.13825143828223
INTC,1.1090059997161
TSLA,1.03034024937263
WMT,1.0117093191977
MU,0.970204776234753
AMD,0.816525923062094
NVDA,0.816232142487331
V,0.590769568322937
META,0.554648020711616
AMZN,0.427096344463254
AVGO,0.120079603517724
MSFT,0.0858225155992495
TSM,0.0725213455251951
LLY,0.0552777230219014
BRK-B,0.0280789736786726
005930.KS,-0.0468584384570888
2222.SR,NULL
