ticker,avg_volume
NVDA,330715694.305936
TSLA,102662971.047945
INTC,75419633.9817352
AAPL,55947209.5799087
AMD,51960015.3607306
AMZN,48453148.859589
AVGO,27715859.6552511
MSFT,25527617.4783105
MU,23973866.0799087
GOOG,22783762.8515982
005930.KS,19589836.440658
WMT,19322352.7283105
META,17905532.5125571
TSM,13337524.1678082
2222.SR,12308512.4084668
JPM,9754643.04908676
V,6655266.53082192
BRK-B,4080099.90981735
000660.KS,3928338.82373678
LLY,3389608.87899543

ticker,total_return
000660.KS,2.66700174240602
GOOG,2.15931000778035
AAPL,1.62127839134581
JPM,1.13825143828223
INTC,1.1090059997161
TSLA,1.03034024937263
WMT,1.0117093191977
MU,0.970204776234753
AMD,0.816525923062094
NVDA,0.816232142487331
V,0.590769568322937
META,0.554648020711616
AMZN,0.427096344463254
AVGO,0.120079603517724
MSFT,0.0858225155992495
TSM,0.0725213455251951
LLY,0.0552777230219014
BRK-B,0.0280789736786726
005930.KS,-0.0468584384570888
2222.SR,NULL

ticker,max_drawdown,avg_drawdown
INTC,-0.638045488338895,-0.276886395386308
AMD,-0.630002851367935,-0.201222139601826
MU,-0.576289722574088,-0.148957710807634
TSLA,-0.537656801185852,-0.20873824634642
005930.KS,-0.428474046969881,-0.125429801667171
AVGO,-0.411496766236221,-0.0786292150278179
NVDA,-0.368810246707066,-0.0732814468415567
TSM,-0.368173649760753,-0.0722931691428457
000660.KS,-0.365975069520919,-0.0898006625303604
MSFT,-0.344983990494689,-0.0815796782810583
LLY,-0.344750060995276,-0.0843806230195728
META,-0.341508026986314,-0.0820658236511312
AAPL,-0.33360519953145,-0.0689809642591404
AMZN,-0.30876638431876,-0.072123693878117
GOOG,-0.293500634101408,-0.0677752084457936
2222.SR,-0.255613563155905,-0.119333653077268
JPM,-0.244239356435505,-0.0435587517629835
WMT,-0.219280384974046,-0.0371173095316874
V,-0.203776940065368,-0.0526453483694266
BRK-B,-0.149481297269598,-0.0487474874186634

ticker,avg_high_low_spread_pct
TSLA,4.15294540924865
AMD,3.88351204208695
INTC,3.82132774839543
MU,3.7742697389056
000660.KS,3.43358213277641
NVDA,3.41818691137335
AVGO,3.17651116186881
TSM,2.61838209548191
META,2.59287132079446
LLY,2.51485128182114
005930.KS,2.37853154508291
AMZN,2.35935847095299
GOOG,2.23052653500373
AAPL,1.9310338887662
MSFT,1.84970165591202
JPM,1.82216494889225
WMT,1.63250643270798
V,1.594518860893
BRK-B,1.35738599219817
2222.SR,1.03911803425642

ticker,avg_30d_volatility
TSLA,0.0273615245156722
AMD,0.0259608228903474
INTC,0.0257488826202002
MU,0.0245912378534017
NVDA,0.0230230535825221
000660.KS,0.0227782607063068
AVGO,0.0216914433969907
TSM,0.0170668415419374
META,0.0164197031049097
005930.KS,0.0162703208846054
LLY,0.0160095444869093
AMZN,0.0148477384099972
GOOG,0.0143387621077979
AAPL,0.0124782367810033
MSFT,0.0119517558838132
JPM,0.011809280134869
WMT,0.0103960700854492
V,0.0100805180615901
BRK-B,0.00848375444864182
2222.SR,0.00750458144161759
